"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Arhgef3",0,0.334435564834589,0.358,0.129,0,"1","Arhgef3"
"Epb41",0,0.330992244426542,0.279,0.107,0,"1","Epb41"
"Fgd5",0,0.330512803504071,0.279,0.039,0,"1","Fgd5"
"Hecw2",0,0.329167768285141,0.276,0.047,0,"1","Hecw2"
"Rbms1",0,0.328667983740579,0.495,0.276,0,"1","Rbms1"
"Meis1",0,0.327269453245756,0.308,0.108,0,"1","Meis1"
"Fmnl2",0,0.32687074742044,0.26,0.074,0,"1","Fmnl2"
"Rasgef1a",0,0.32365574597364,0.284,0.051,0,"1","Rasgef1a"
"Ppp1r16b",0,0.322738149186653,0.317,0.078,0,"1","Ppp1r16b"
"Sash1",0,0.321838215305966,0.3,0.07,0,"1","Sash1"
"Dgkh",0,0.321402565751259,0.29,0.083,0,"1","Dgkh"
"Tjp1",0,0.321016576742736,0.332,0.097,0,"1","Tjp1"
"Pard3b",0,0.3208902903274,0.391,0.19,0,"1","Pard3b"
"Rapgef5",0,0.319636205977071,0.332,0.126,0,"1","Rapgef5"
"Zbtb20",0,0.31780466879767,0.675,0.499,0,"1","Zbtb20"
"Zeb1",0,0.317551983104414,0.344,0.133,0,"1","Zeb1"
"St5",0,0.317244027003708,0.286,0.085,0,"1","St5"
"Cavin2",0,0.316484917336771,0.327,0.136,0,"1","Cavin2"
"Col4a1",0,0.314657777523193,0.249,0.102,0,"1","Col4a1"
"Clec2d",0,0.312227092283419,0.323,0.105,0,"1","Clec2d"
"Edn1",0,0.311752414826906,0.188,0.02,0,"1","Edn1"
"Kit",0,0.311365901709778,0.231,0.027,0,"1","Kit"
"Arap2",0,0.309497551760499,0.324,0.107,0,"1","Arap2"
"Stxbp6",0,0.309006669908987,0.278,0.086,0,"1","Stxbp6"
"Csgalnact1",0,0.305391853563351,0.257,0.05,0,"1","Csgalnact1"
"Prss23",0,0.304163063960654,0.138,0.02,0,"1","Prss23"
"Adgre5",0,0.303464862063095,0.311,0.102,0,"1","Adgre5"
"Nrp1",0,0.302388348957463,0.416,0.191,0,"1","Nrp1"
"Ptk2",0,0.301640153099552,0.323,0.111,0,"1","Ptk2"
"Psd3",0,0.30001195830861,0.347,0.145,0,"1","Psd3"
"Ctnnd1",0,0.299682981321539,0.333,0.12,0,"1","Ctnnd1"
"Ctnna1",0,0.2996141658455,0.4,0.166,0,"1","Ctnna1"
"Tmem2",0,0.299131744965386,0.141,0.004,0,"1","Tmem2"
"Asap2",0,0.298976662151628,0.251,0.039,0,"1","Asap2"
"Casz1",0,0.296336198555478,0.291,0.074,0,"1","Casz1"
"Fbxl7",0,0.294243520412281,0.258,0.09,0,"1","Fbxl7"
"Utrn",0,0.291481378036722,0.419,0.234,0,"1","Utrn"
"9530026P05Rik",0,0.291251236986909,0.358,0.184,0,"1","9530026P05Rik"
"Smad7",0,0.290825986395707,0.266,0.055,0,"1","Smad7"
"Sema6d",0,0.290494046474446,0.234,0.044,0,"1","Sema6d"
"Nav1",0,0.288999450383659,0.282,0.081,0,"1","Nav1"
"Mctp1",0,0.288301892319951,0.225,0.106,0,"1","Mctp1"
"Tmcc3",0,0.286785060902786,0.356,0.155,0,"1","Tmcc3"
"Ankrd44",0,0.285671902120199,0.401,0.248,0,"1","Ankrd44"
"Xdh",0,0.285523888848701,0.249,0.075,0,"1","Xdh"
"Rbpms",0,0.285214921657148,0.398,0.191,0,"1","Rbpms"
"Tie1",0,0.28393383648617,0.227,0.025,0,"1","Tie1"
"Pdgfd",0,0.283507664514471,0.232,0.057,0,"1","Pdgfd"
"Emcn",0,0.282481287540142,0.216,0.035,0,"1","Emcn"
"Ybx1",0,0.282421598723421,0.353,0.188,0,"1","Ybx1"
"Rdx",0,0.281247387405126,0.301,0.108,0,"1","Rdx"
"Casc4",0,0.280940586051276,0.227,0.046,0,"1","Casc4"
