"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TUBB4B.14",2.60397666754662e-26,-0.437197241445915,0.345,0.418,9.42431235518472e-22,"16","TUBB4B"
"PDLIM1.12",5.22677174960489e-25,-0.265328538579905,0.267,0.342,1.891673231617e-20,"16","PDLIM1"
"MT-CO2.15",4.90965299151115e-24,-0.698474017870133,0.892,0.745,1.77690161068772e-19,"16","MT-CO2"
"TXNIP.14",2.65807354360952e-23,-0.387528855716945,0.477,0.515,9.62009976903158e-19,"16","TXNIP"
"RHOB.10",3.10854450920317e-23,-0.296234570611449,0.353,0.419,1.12504442877081e-18,"16","RHOB"
"HSP90AA1.12",2.25438137911608e-22,-0.579647432023926,0.742,0.714,8.1590570872969e-18,"16","HSP90AA1"
"RGS2.12",4.57837906903819e-20,-0.263474244680219,0.081,0.132,1.6570069526663e-15,"16","RGS2"
"TFF3.14",1.90712401191014e-19,-0.459067005175762,0.098,0.151,6.90226322390519e-15,"16","TFF3"
"CLU.14",6.64208960698796e-18,0.307181640684759,0.389,0.317,2.40390507056108e-13,"16","CLU"
"ID3.12",1.73031530003142e-17,-0.250957744465741,0.153,0.206,6.26235713387373e-13,"16","ID3"
"LGALS3.15",8.85182019093677e-15,-0.329719418345972,0.541,0.55,3.20365076350384e-10,"16","LGALS3"
"GSTA2.15",2.13442512412296e-11,-0.258127979672793,0.068,0.1,7.72491140922581e-07,"16","GSTA2"
"ZFP36.11",2.57180207105927e-11,-0.288942130841107,0.546,0.587,9.30786605557772e-07,"16","ZFP36"
"CTSD.13",8.54372338516803e-11,-0.55785907216317,0.465,0.464,3.09214436756001e-06,"16","CTSD"
"TSPAN1.14",4.47558564523533e-10,-0.317538912904639,0.415,0.302,1.61980395672357e-05,"16","TSPAN1"
"BTG1.10",1.93612112430245e-07,-0.254688976179234,0.488,0.504,0.00700720957307542,"16","BTG1"
"BPIFB1.16",6.05099095899158e-07,-0.995941534789969,0.261,0.215,0.0218997464787823,"16","BPIFB1"
"LCN2.15",5.33290937924913e-06,-0.647718699391894,0.231,0.251,0.193008656253784,"16","LCN2"
"HSPA1A.10",0.00075174683035318,-0.538998241981773,0.39,0.38,1,"16","HSPA1A"
"MT-ATP8.14",0.00173190607551932,-0.5548769378942,0.283,0.272,1,"16","MT-ATP8"
"CAPS.16",0.00256717520222222,-0.931188255203822,0.336,0.261,1,"16","CAPS"
"PRDX5.12",0.00328218914939433,-0.250211299655134,0.581,0.509,1,"16","PRDX5"
"AGER",0,4.13497207033122,0.979,0.033,0,"17","AGER"
"EMP2.12",0,3.71422932623842,0.991,0.287,0,"17","EMP2"
"CAV1.16",0,2.84797114328804,0.973,0.174,0,"17","CAV1"
"HOPX.16",0,2.39608411015256,0.95,0.237,0,"17","HOPX"
"KRT7.13",0,2.3115774069929,0.874,0.223,0,"17","KRT7"
"CLDN18.10",0,2.00316183008271,0.846,0.086,0,"17","CLDN18"
"CEACAM6.8",0,1.9902156315239,0.773,0.102,0,"17","CEACAM6"
"CD55.10",0,1.930351824611,0.927,0.36,0,"17","CD55"
"GPRC5A.9",0,1.86034768005679,0.867,0.167,0,"17","GPRC5A"
"RTKN2",0,1.79419592500582,0.614,0.006,0,"17","RTKN2"
"MYL9",0,1.75918231599894,0.848,0.072,0,"17","MYL9"
